id,title_no,status,type,land_district,issue_date,guarantee_status,estate_description,number_owners,spatial_extents_shared
4987556,930087,LIVE,Freehold,Nelson,2021/09/10 10:48:17,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 546389, 149,346 m2",1,F
4987557,930088,LIVE,Freehold,Nelson,2021/09/10 10:48:17,Guarantee,"Fee Simple, 1/1, Lot 2 Deposited Plan 546389, 99,287 m2",2,F
5026727,971478,LIVE,Freehold,Nelson,2021/09/10 08:37:18,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 556389, 741 m2",2,F
5026728,971479,LIVE,Freehold,Nelson,2021/09/10 08:37:18,Guarantee,"Fee Simple, 1/1, Lot 2 Deposited Plan 556389, 475 m2",2,F
5026729,971480,LIVE,Freehold,Nelson,2021/09/10 08:37:18,Guarantee,"Fee Simple, 1/1, Lot 3 Deposited Plan 556389, 645 m2",2,F
5044875,990529,LIVE,Freehold,Nelson,2021/09/06 11:55:15,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 560740, 6,616 m2",1,F
5044876,990530,LIVE,Freehold,Nelson,2021/09/06 11:55:15,Guarantee,"Fee Simple, 1/1, Lot 2 Deposited Plan 560740, 87,465 m2",1,F
5054331,1000469,LIVE,Freehold,Nelson,2021/08/31 13:36:27,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 562707, 261 m2",1,F
5054332,1000470,LIVE,Freehold,Nelson,2021/08/31 13:36:27,Guarantee,"Fee Simple, 1/1, Lot 2 Deposited Plan 562707, 214 m2",1,F
5054333,1000471,LIVE,Freehold,Nelson,2021/08/31 13:36:27,Guarantee,"Fee Simple, 1/1, Lot 3 Deposited Plan 562707, 229 m2",1,F
5054334,1000472,LIVE,Freehold,Nelson,2021/08/31 13:36:27,Guarantee,"Fee Simple, 1/1, Lot 4 Deposited Plan 562707, 234 m2",1,F
5054335,1000473,LIVE,Freehold,Nelson,2021/08/31 13:36:27,Guarantee,"Fee Simple, 1/1, Lot 5 Deposited Plan 562707, 589 m2",1,F
5056500,1002710,LIVE,Freehold,Nelson,2021/08/19 12:55:43,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 561085, 4,489 m2",1,F
5056501,1002711,LIVE,Freehold,Nelson,2021/08/19 12:55:43,Guarantee,"Fee Simple, 1/1, Lot 2 Deposited Plan 561085, 249 m2",1,F
5056502,1002712,LIVE,Freehold,Nelson,2021/08/19 12:55:43,Guarantee,"Fee Simple, 1/1, Lot 3 Deposited Plan 561085, 976 m2",1,F
5056503,1002713,LIVE,Freehold,Nelson,2021/08/19 12:55:43,Guarantee,"Fee Simple, 1/1, Lot 4 Deposited Plan 561085, 4,393 m2",1,F
5056504,1002714,LIVE,Freehold,Nelson,2021/08/19 12:55:43,Guarantee,"Fee Simple, 1/1, Lot 5 Deposited Plan 561085, 1,672 m2",1,F
5046813,992544,LIVE,Freehold,Nelson,2021/08/19 12:37:49,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 560391, 13,787 m2",1,F
5046814,992545,LIVE,Freehold,Nelson,2021/08/19 12:37:49,Guarantee,"Fee Simple, 1/1, Lot 2 Deposited Plan 560391, 160,942 m2",1,F
5053003,999088,LIVE,Freehold,Nelson,2021/08/16 09:49:26,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 562860, 569 m2",1,F
5053004,999089,LIVE,Freehold,Nelson,2021/08/16 09:49:26,Guarantee,"Fee Simple, 1/1, Lot 2 Deposited Plan 562860, 561 m2",2,F
5053005,999090,LIVE,Freehold,Nelson,2021/08/16 09:49:26,Guarantee,"Fee Simple, 1/1, Lot 3 Deposited Plan 562860, 561 m2",1,F
5053006,999091,LIVE,Freehold,Nelson,2021/08/16 09:49:26,Guarantee,"Fee Simple, 1/1, Lot 4 Deposited Plan 562860, 559 m2",1,F
5053007,999092,LIVE,Freehold,Nelson,2021/08/16 09:49:26,Guarantee,"Fee Simple, 1/1, Lot 5 Deposited Plan 562860, 562 m2",2,F
5053008,999093,LIVE,Freehold,Nelson,2021/08/16 09:49:26,Guarantee,"Fee Simple, 1/1, Lot 6 Deposited Plan 562860, 560 m2",3,F
5053009,999094,LIVE,Freehold,Nelson,2021/08/16 09:49:26,Guarantee,"Fee Simple, 1/1, Lot 7 Deposited Plan 562860, 561 m2",1,F
5053010,999095,LIVE,Freehold,Nelson,2021/08/16 09:49:26,Guarantee,"Fee Simple, 1/1, Lot 8 Deposited Plan 562860, 562 m2",1,F
