Year,A. Household net financial wealth (A1-A2),    A1. Household financial assets,    A2. Household financial liabilities,B. Household net wealth (B1+B2),    B1. Household net financial wealth,    B2. Housing and land value,C. Net equity in housing (C1-C2),    C1. Housing and land value,    C2. Housing loans,Household disposable income (quarterly),Household disposable income (year ended),Household financial assets,Household financial liabilities,Household net financial wealth,Housing and land value,Household net wealth,Net equity in housing,Number of households (at end of quarter),Number of private dwellings (at end of quarter),Expenditure GDP (quarterly),Expenditure GDP (annual),Production GDP (annual),Household financial liabilities (including rental properties),Household financial liabilities (including rental properties) as a percentage of household disposable income,D. Total interest payments (D1+D2),    D1. Interest payments on housing loans (including rental properties),    D2. Interest payments on consumer loans,    D3. Total interest payments as a percentage of household disposable income,E. Total interest payments (E1+E2),    E1. Interest payments on housing loans (including rental properties),    E2. Interest payments on consumer loans,    E3. Total interest payments as a percentage of household disposable income
Dec 1998,258,766,307,995,49,229,435,170,258,766,176,404,136,555,176,404,39,849,16,867,66,349,464,74,390,266,656,206,1,383,400,1,456,000,28,620,,,65,568,99,1,389,1,127,263,8.2,,,,
Mar 1999,265,778,316,060,50,282,443,779,265,778,178,000,137,048,178,000,40,953,17,162,66,983,472,75,397,266,663,205,1,387,000,1,460,900,27,149,106,826,106,826,67,064,100,1,337,1,084,252,7.8,,,,
Jun 1999,271,003,322,900,51,896,451,398,271,003,180,395,138,383,180,395,42,012,17,764,68,391,472,76,396,264,660,202,1,390,900,1,466,300,27,322,,,69,124,101,1,330,1,078,252,7.5,,,,
Sep 1999,276,606,329,750,53,143,457,799,276,606,181,193,138,003,181,193,43,190,17,997,69,790,472,76,396,260,656,198,1,395,100,1,472,100,26,741,,,70,750,101,1,345,1,092,253,7.5,5,400,4,381,1,019,7.7
Dec 1999,282,895,337,334,54,439,464,088,282,895,181,193,137,115,181,193,44,078,18,143,71,065,475,77,398,255,653,193,1,400,100,1,478,900,29,949,,,72,425,102,1,383,1,116,268,7.6,5,394,4,370,1,024,7.6
Mar 2000,287,245,342,476,55,231,469,165,287,245,181,920,137,066,181,920,44,854,18,202,72,106,475,77,398,252,651,190,1,405,700,1,486,600,29,218,113,229,113,229,73,533,102,1,466,1,191,275,8.1,5,523,4,477,1,047,7.7
Jun 2000,287,884,344,532,56,647,469,804,287,884,181,920,136,372,181,920,45,547,17,781,72,123,478,79,399,252,651,189,1,410,400,1,493,000,28,800,,,75,238,104,1,571,1,282,290,8.8,5,765,4,680,1,085,8.0
Sep 2000,288,768,346,162,57,394,473,071,288,768,184,303,138,217,184,303,46,086,17,824,71,950,481,80,401,256,658,192,1,414,200,1,498,300,28,247,,,76,208,106,1,639,1,337,302,9.2,6,060,4,925,1,135,8.4
Dec 2000,290,604,349,263,58,658,474,907,290,604,184,303,137,508,184,303,46,795,17,938,71,744,487,82,405,257,662,192,1,418,000,1,503,400,32,132,,,77,732,108,1,672,1,348,323,9.3,6,348,5,158,1,190,8.8
Mar 2001,291,402,350,838,59,436,477,998,291,402,186,596,139,045,186,596,47,552,18,122,71,664,490,83,407,260,667,194,1,421,800,1,508,600,30,659,119,839,119,839,78,820,110,1,684,1,361,323,9.3,6,566,5,327,1,239,9.2
